input,intent
redo this entry,update_record
fix my form,update_record
repair a record,update_record
change this data,update_record
edit one record,update_record
revise an entry,update_record
adjust the record,update_record
replace that info,update_record
change my form,update_record
modify one file,update_record
alter a submission,update_record
revise my file,update_record
correct the form,update_record
rework the entry,update_record
redo a form,update_record
fix one record,update_record
I need to edit the record,update_record
I want to update a record,update_record
please help me revise this record,update_record
I would like to change the file,update_record
I must correct the current entry,update_record
I have to modify the data,update_record
I need to adjust my record,update_record
let me revise the record details,update_record
I want to change this record,update_record
I need to fix that record,update_record
I would like to revise information,update_record
please allow me to edit this,update_record
can I update the entry now,update_record
I should modify that record now,update_record
help me make changes to it,update_record
I need to update the form,update_record
I want to change some details,update_record
let me fix the old record,update_record
I would like to fix something,update_record
I must adjust what I submitted,update_record
allow me to correct the record,update_record
I have edits to submit now,update_record
I need to revise this file,update_record
let me change what I wrote,update_record
I need to fix the entry,update_record
I want to redo that record,update_record
I would like to fix my data,update_record
I must revise the information here,update_record
I should edit what I just entered,update_record
I need to replace some record info,update_record
edit this now please,update_record
I want to change my form,update_record
can I revise the old entry,update_record
I need to update the last file,update_record
change the details I entered earlier,update_record
help me fix what I just did,update_record
I should correct some of the information,update_record
please allow edits to the existing record,update_record
I made a mistake and must revise it,update_record
I want to adjust that file I submitted,update_record
i want to change user,change_user
please let me change user,change_user
i need to switch user,change_user
let me switch the user,change_user
can you change my user,change_user
i want a different user,change_user
help me switch the user,change_user
i must become another user,change_user
allow me to change user,change_user
i wish to change user,change_user
i really need a new user,change_user
please help me switch user,change_user
i have to switch user,change_user
i would like another user,change_user
i am ready to switch user,change_user
could i switch my user,change_user
i want to log in differently,change_user
i need another login user,change_user
can you please change user,change_user
help me become someone else,change_user
let me access another user,change_user
i have to become different user,change_user
please let me log in new,change_user
allow me to log in new,change_user
let me be a new user,change_user
help me be another user,change_user
i want to be different user,change_user
i must change to different user,change_user
i wish to switch my user,change_user
can i please change the user,change_user
i really need to switch user,change_user
i would love a new user,change_user
please change me to someone else,change_user
let me change who i am using,change_user
i cannot use this user anymore,change_user
help me switch to different user,change_user
i am done with this user,change_user
i need new access right now,change_user
please make me a new user,change_user
can you switch me to another,change_user
let me become a new user,change_user
i want to go as different user,change_user
i need another identity now please,change_user
let me operate under new user,change_user
i really must change this user,change_user
help me log into someone else,change_user
please help change my current user,change_user
i want to change identity quickly,change_user
i am not this user anymore,change_user
let me take on another identity,change_user
i want to act for someone else,change_user
let me switch for another person,change_user
i am doing this for them,change_user
need to act for another user,change_user
please let me represent someone else,change_user
i must switch on their behalf,change_user
allow me to act for another,change_user
i want to represent someone else,change_user
i am here for a user,change_user
let me perform this for them,change_user
i will act as another user,change_user
i do this as someone else,change_user
this is on behalf of them,change_user
i need to log in for them,change_user
let me do this for user,change_user
i am substituting for another person,change_user
i am handling this for someone,change_user
want to do this for someone,change_user
allow me to work for another,change_user
acting on another persons behalf today,change_user
let me take action for them,change_user
need to represent another account now,change_user
please switch me to their account,change_user
i must operate for someone else,change_user
doing this task for a user,change_user
i am logged in for someone,change_user
wish to act as proxy user,change_user
doing this not for myself,change_user
i must perform this as proxy,change_user
change me to someone elses user,change_user
i want access on their behalf,change_user
can i switch for another user,change_user
allow me access for someone else,change_user
taking this step for another person,change_user
i need to take action for them,change_user
i want to be proxy now,change_user
requesting switch to act for user,change_user
i am doing this on their behalf,change_user
give me access as proxy user,change_user
need to log in as someone else,change_user
i need proxy access for today,change_user
please switch me to their identity,change_user
i wish to act on behalf,change_user
handling this for someone who is absent,change_user
completing this task for someone else,change_user
performing this duty as a proxy,change_user
let me sign in for them,change_user
i represent another user right now,change_user
standing in for a different user,change_user
acting as another user for today,change_user
someone else needs to use this,change_user
another person wants to log in,change_user
a different user needs access now,change_user
someone else is taking over here,change_user
they want to use the system,change_user
another user wants to take control,change_user
someone else is ready to log in,change_user
the next user is waiting now,change_user
a colleague needs this system now,change_user
user change requested by someone else,change_user
there is another user waiting here,change_user
someone else is next to use this,change_user
time to let another person use it,change_user
another person needs the account now,change_user
someone else must use this system,change_user
a new person is ready to log in,change_user
they want to take over now,change_user
i need to let someone else in,change_user
system needed by another user now,change_user
switch users someone else wants in,change_user
another person is ready to go,change_user
they are waiting to use system,change_user
i must pass this to another,change_user
new user wants to access system,change_user
another person should be using this,change_user
the next person is waiting here,change_user
handoff required for another user,change_user
another user needs to start now,change_user
someone else is ready to go,change_user
they are next to use this,change_user
i must log out for another,change_user
switch me out someone else is waiting,change_user
another person needs to log in here,change_user
a different user is now taking over,change_user
someone new is ready to use this,change_user
they need access to this account,change_user
let someone else start using system,change_user
time for a new user now,change_user
another user wants to log in now,change_user
switch required for next user now,change_user
another person is ready for login,change_user
someone else wants access right now,change_user
new user waiting to sign in,change_user
user change requested by next person,change_user
they must use this system now,change_user
they are taking over from me,change_user
allow another user to log in,change_user
the next user is ready to go,change_user
pass this access to someone else,change_user
switch users new person is coming,change_user
i would like change user,change_user
i would like to change user,change_user
would like to switch user,change_user
i would like another user,change_user
let me change the user,change_user
i would like to log out,change_user
can i please change user,change_user
would like to use new user,change_user
i would like to switch users,change_user
let me switch to new user,change_user
i would like a new account,change_user
would like to go as different user,change_user
i want to change who i am,change_user
can i log in as someone else,change_user
i would like to be someone else,change_user
would like different login now please,change_user
let me log in as another user,change_user
i would like access for new user,change_user
wish to become a new user,change_user
i would like to begin again,change_user
need to use system with another name,change_user
want to switch to new identity,change_user
i would like to change identity,change_user
please switch me to different user,change_user
i would like a fresh login,change_user
would like to act as new user,change_user
help me become someone else now,change_user
i want to be a new user,change_user
can i please log in differently,change_user
i would like a user reset,change_user
would like to continue as another user,change_user
let me start over with new user,change_user
i would like new user access,change_user
please allow me a new session,change_user
want to enter as a new user,change_user
allow me to try another user,change_user
i need to go as different user,change_user
want to log in with new user,change_user
i would like user credentials changed,change_user
can i please use another user,change_user
wish to proceed as different account,change_user
i want new session with different user,change_user
would like this session as new user,change_user
i would prefer a different user,change_user
let me restart as another user,change_user
may i continue with new user,change_user
please log me in as someone new,change_user
i would rather use other user,change_user
allow switch to another account please,change_user
i would like a different profile,change_user
